الرقم الجامعي,اسم الطالب,الشعبة,النصفي,النهائي,المشروع,المشاركة
1001,نورة الشمري,أ,85,92,78,90
1002,فيصل العنزي,أ,72,68,85,75
1003,ريم الدوسري,أ,91,88,94,95
1004,سلطان الحربي,أ,60,65,70,70
1005,لمياء القحطاني,أ,78,82,80,85
1006,عبدالله المطيري,ب,95,94,92,95
1007,هيا الزهراني,ب,55,60,65,60
1008,ماجد السبيعي,ب,82,79,88,80
1009,جواهر العتيبي,ب,88,91,85,90
1010,تركي الغامدي,ب,70,75,72,75
1011,شهد البقمي,ج,93,96,90,95
1012,بدر الرشيدي,ج,65,58,70,65
1013,منيرة الخالدي,ج,80,84,78,80
1014,وليد الشهري,ج,74,70,76,70
1015,أروى الجهني,ج,87,90,82,85
